"Pathway" "ApprovedSymbol"
"cc_mitotic" "KIF20A"
"cc_mitotic" "ACTR1A"
"cc_mitotic" "AKAP9"
"cc_mitotic" "CDK2"
"cc_mitotic" "CDK4"
"cc_mitotic" "PSME3"
"cc_mitotic" "CDK6"
"cc_mitotic" "PSMD14"
"cc_mitotic" "CDK7"
"cc_mitotic" "CDKN1A"
"cc_mitotic" "CDKN1B"
"cc_mitotic" "STAG1"
"cc_mitotic" "CDKN2A"
"cc_mitotic" "CDKN2B"
"cc_mitotic" "CDKN2C"
"cc_mitotic" "CDKN2D"
"cc_mitotic" "TUBB4"
"cc_mitotic" "TUBB2C"
"cc_mitotic" "ANAPC10"
"cc_mitotic" "NDC80"
"cc_mitotic" "TUBGCP3"
"cc_mitotic" "DCTN2"
"cc_mitotic" "CENPA"
"cc_mitotic" "CENPC1"
"cc_mitotic" "CENPE"
"cc_mitotic" "CENPF"
"cc_mitotic" "CETN2"
"cc_mitotic" "POLD3"
"cc_mitotic" "NUDC"
"cc_mitotic" "PLK4"
"cc_mitotic" "STAG2"
"cc_mitotic" "SDCCAG8"
"cc_mitotic" "TUBGCP2"
"cc_mitotic" "DBF4"
"cc_mitotic" "KIF2C"
"cc_mitotic" "CEP110"
"cc_mitotic" "UBE2C"
"cc_mitotic" "FGFR1OP"
"cc_mitotic" "ZWINT"
"cc_mitotic" "CEP250"
"cc_mitotic" "PMF1"
"cc_mitotic" "DCTN3"
"cc_mitotic" "TUBGCP5"
"cc_mitotic" "CKS1B"
"cc_mitotic" "NEDD1"
"cc_mitotic" "PSMB11"
"cc_mitotic" "PSMA8"
"cc_mitotic" "CSNK1D"
"cc_mitotic" "CSNK1E"
"cc_mitotic" "SPC24"
"cc_mitotic" "SGOL2"
"cc_mitotic" "SGOL1"
"cc_mitotic" "DCTN1"
"cc_mitotic" "DHFR"
"cc_mitotic" "DNA2"
"cc_mitotic" "DYNC1H1"
"cc_mitotic" "DYNC1I2"
"cc_mitotic" "E2F1"
"cc_mitotic" "E2F2"
"cc_mitotic" "E2F3"
"cc_mitotic" "E2F4"
"cc_mitotic" "E2F5"
"cc_mitotic" "TUBB"
"cc_mitotic" "SKA1"
"cc_mitotic" "FEN1"
"cc_mitotic" "CEP164"
"cc_mitotic" "MAPRE1"
"cc_mitotic" "NINL"
"cc_mitotic" "AZI1"
"cc_mitotic" "CEP152"
"cc_mitotic" "CLASP2"
"cc_mitotic" "PSME4"
"cc_mitotic" "NUP160"
"cc_mitotic" "CLASP1"
"cc_mitotic" "ITGB3BP"
"cc_mitotic" "ORC6L"
"cc_mitotic" "ORC3L"
"cc_mitotic" "POLA2"
"cc_mitotic" "CDC26"
"cc_mitotic" "CENPI"
"cc_mitotic" "AHCTF1"
"cc_mitotic" "NSL1"
"cc_mitotic" "FBXO5"
"cc_mitotic" "TUBG2"
"cc_mitotic" "TUBGCP4"
"cc_mitotic" "ANAPC2"
"cc_mitotic" "RPA4"
"cc_mitotic" "ANAPC4"
"cc_mitotic" "BIRC5"
"cc_mitotic" "HSP90AA1"
"cc_mitotic" "SKA2"
"cc_mitotic" "NUP43"
"cc_mitotic" "INCENP"
"cc_mitotic" "APITD1"
"cc_mitotic" "KIF2A"
"cc_mitotic" "LIG1"
"cc_mitotic" "CENPP"
"cc_mitotic" "MAD2L1"
"cc_mitotic" "MAX"
"cc_mitotic" "MCM2"
"cc_mitotic" "MCM3"
"cc_mitotic" "MCM4"
"cc_mitotic" "MCM5"
"cc_mitotic" "MCM6"
"cc_mitotic" "MCM7"
"cc_mitotic" "MNAT1"
"cc_mitotic" "MYC"
"cc_mitotic" "NEK2"
"cc_mitotic" "NUMA1"
"cc_mitotic" "NUP98"
"cc_mitotic" "ODF2"
"cc_mitotic" "ORC1L"
"cc_mitotic" "ORC2L"
"cc_mitotic" "ORC4L"
"cc_mitotic" "ORC5L"
"cc_mitotic" "PAFAH1B1"
"cc_mitotic" "GMNN"
"cc_mitotic" "PCM1"
"cc_mitotic" "PCNA"
"cc_mitotic" "PCNT"
"cc_mitotic" "FZR1"
"cc_mitotic" "ANAPC5"
"cc_mitotic" "ANAPC7"
"cc_mitotic" "ANAPC11"
"cc_mitotic" "GINS2"
"cc_mitotic" "PLK1"
"cc_mitotic" "POLA1"
"cc_mitotic" "POLD1"
"cc_mitotic" "POLD2"
"cc_mitotic" "POLE"
"cc_mitotic" "POLE2"
"cc_mitotic" "NDE1"
"cc_mitotic" "ERCC6L"
"cc_mitotic" "CCDC99"
"cc_mitotic" "PPP1CC"
"cc_mitotic" "ZWILCH"
"cc_mitotic" "CEP192"
"cc_mitotic" "HAUS2"
"cc_mitotic" "CDCA8"
"cc_mitotic" "PPP2CA"
"cc_mitotic" "PPP2CB"
"cc_mitotic" "CENPQ"
"cc_mitotic" "PPP2R1A"
"cc_mitotic" "PPP2R1B"
"cc_mitotic" "PPP2R5A"
"cc_mitotic" "PPP2R5B"
"cc_mitotic" "PPP2R5C"
"cc_mitotic" "PPP2R5D"
"cc_mitotic" "MCM10"
"cc_mitotic" "PRIM1"
"cc_mitotic" "PRIM2"
"cc_mitotic" "PRKACA"
"cc_mitotic" "CEP72"
"cc_mitotic" "NUP133"
"cc_mitotic" "CDK5RAP2"
"cc_mitotic" "PRKAR2B"
"cc_mitotic" "CENPJ"
"cc_mitotic" "CENPN"
"cc_mitotic" "RCC2"
"cc_mitotic" "PSMA1"
"cc_mitotic" "PSMA2"
"cc_mitotic" "PSMA3"
"cc_mitotic" "PSMA4"
"cc_mitotic" "PSMA5"
"cc_mitotic" "PSMA6"
"cc_mitotic" "PSMA7"
"cc_mitotic" "PSMB1"
"cc_mitotic" "PSMB2"
"cc_mitotic" "PSMB3"
"cc_mitotic" "PSMB4"
"cc_mitotic" "PSMB5"
"cc_mitotic" "PSMB6"
"cc_mitotic" "PSMB7"
"cc_mitotic" "PSMB8"
"cc_mitotic" "PSMB9"
"cc_mitotic" "PSMB10"
"cc_mitotic" "PSMC1"
"cc_mitotic" "PSMC2"
"cc_mitotic" "PSMC3"
"cc_mitotic" "PSMC4"
"cc_mitotic" "PSMC5"
"cc_mitotic" "PSMC6"
"cc_mitotic" "PSMD1"
"cc_mitotic" "PSMD2"
"cc_mitotic" "CASC5"
"cc_mitotic" "PSMD3"
"cc_mitotic" "PSMD4"
"cc_mitotic" "PSMD5"
"cc_mitotic" "NUP107"
"cc_mitotic" "PSMD7"
"cc_mitotic" "PSMD8"
"cc_mitotic" "PSMD9"
"cc_mitotic" "PSMD10"
"cc_mitotic" "PSMD11"
"cc_mitotic" "PSMD12"
"cc_mitotic" "PSMD13"
"cc_mitotic" "PSME1"
"cc_mitotic" "PSME2"
"cc_mitotic" "SPC25"
"cc_mitotic" "TAOK1"
"cc_mitotic" "POLD4"
"cc_mitotic" "RAD21"
"cc_mitotic" "RANBP2"
"cc_mitotic" "RANGAP1"
"cc_mitotic" "RB1"
"cc_mitotic" "CCND1"
"cc_mitotic" "RFC1"
"cc_mitotic" "RFC2"
"cc_mitotic" "RFC3"
"cc_mitotic" "RFC4"
"cc_mitotic" "RFC5"
"cc_mitotic" "RPA1"
"cc_mitotic" "RPA2"
"cc_mitotic" "RPA3"
"cc_mitotic" "RPS27"
"cc_mitotic" "RPS27A"
"cc_mitotic" "RRM2"
"cc_mitotic" "CLIP1"
"cc_mitotic" "SEC13"
"cc_mitotic" "CENPK"
"cc_mitotic" "ANAPC1"
"cc_mitotic" "GORASP1"
"cc_mitotic" "CENPH"
"cc_mitotic" "SKP1"
"cc_mitotic" "SKP2"
"cc_mitotic" "AURKA"
"cc_mitotic" "BUB1"
"cc_mitotic" "BUB1B"
"cc_mitotic" "TFDP1"
"cc_mitotic" "TK2"
"cc_mitotic" "TUBA4A"
"cc_mitotic" "TUBG1"
"cc_mitotic" "CDK11A"
"cc_mitotic" "TYMS"
"cc_mitotic" "UBA52"
"cc_mitotic" "UBB"
"cc_mitotic" "UBC"
"cc_mitotic" "UBE2D1"
"cc_mitotic" "UBE2E1"
"cc_mitotic" "WEE1"
"cc_mitotic" "XPO1"
"cc_mitotic" "YWHAE"
"cc_mitotic" "YWHAG"
"cc_mitotic" "ALMS1"
"cc_mitotic" "TUBA1A"
"cc_mitotic" "MIS12"
"cc_mitotic" "CENPM"
"cc_mitotic" "NUP37"
"cc_mitotic" "CENPO"
"cc_mitotic" "MLF1IP"
"cc_mitotic" "NUP85"
"cc_mitotic" "CEP76"
"cc_mitotic" "DSN1"
"cc_mitotic" "CENPT"
"cc_mitotic" "CEP290"
"cc_mitotic" "CEP63"
"cc_mitotic" "CEP70"
"cc_mitotic" "B9D2"
"cc_mitotic" "NDEL1"
"cc_mitotic" "CDT1"
"cc_mitotic" "SEH1L"
"cc_mitotic" "KIF18A"
"cc_mitotic" "SMC1A"
"cc_mitotic" "CDC7"
"cc_mitotic" "CDC45L"
"cc_mitotic" "NUF2"
"cc_mitotic" "MAD1L1"
"cc_mitotic" "CEP78"
"cc_mitotic" "GINS4"
"cc_mitotic" "MCM8"
"cc_mitotic" "CUL1"
"cc_mitotic" "KIF2B"
"cc_mitotic" "OFD1"
"cc_mitotic" "TUBGCP6"
"cc_mitotic" "CDC14A"
"cc_mitotic" "SSNA1"
"cc_mitotic" "DYNLL1"
"cc_mitotic" "CDC23"
"cc_mitotic" "CDC16"
"cc_mitotic" "CCNA2"
"cc_mitotic" "CCNA1"
"cc_mitotic" "CCNB1"
"cc_mitotic" "CCND2"
"cc_mitotic" "BTRC"
"cc_mitotic" "CCND3"
"cc_mitotic" "CCNE1"
"cc_mitotic" "CCNH"
"cc_mitotic" "PKMYT1"
"cc_mitotic" "SMC3"
"cc_mitotic" "CCNB2"
"cc_mitotic" "CCNE2"
"cc_mitotic" "CENPL"
"cc_mitotic" "ZW10"
"cc_mitotic" "BUB3"
"cc_mitotic" "AURKB"
"cc_mitotic" "PTTG1"
"cc_mitotic" "PSMF1"
"cc_mitotic" "KIF23"
"cc_mitotic" "TSGA14"
"cc_mitotic" "CEP135"
"cc_mitotic" "CEP57"
"cc_mitotic" "KNTC1"
"cc_mitotic" "CKAP5"
"cc_mitotic" "SFI1"
"cc_mitotic" "CDC2"
"cc_mitotic" "GINS1"
"cc_mitotic" "CDK11B"
"cc_mitotic" "PSMD6"
"cc_mitotic" "CDC6"
"cc_mitotic" "CDC20"
"cc_mitotic" "CDC25A"
"cc_mitotic" "CDC25B"
"cc_mitotic" "CDC25C"
"cc_mitotic" "CDC27"
"cc_mitotic" "REC8"
"cc_regulation" "CDK2"
"cc_regulation" "CDKN1A"
"cc_regulation" "CDKN1B"
"cc_regulation" "CDKN2A"
"cc_regulation" "CDKN2B"
"cc_regulation" "CDKN2C"
"cc_regulation" "CDKN2D"
"cc_regulation" "E2F1"
"cc_regulation" "RB1"
"cc_regulation" "RBL1"
"cc_regulation" "TFDP1"
"cc_regulation" "CCNA1"
"cc_regulation" "CCNB1"
"cc_regulation" "CDC2"
"cc_regulation" "CDC25A"
"g1s_dna_damage" "CDK2"
"g1s_dna_damage" "PSME3"
"g1s_dna_damage" "PSMD14"
"g1s_dna_damage" "CDKN1A"
"g1s_dna_damage" "CDKN1B"
"g1s_dna_damage" "CHEK1"
"g1s_dna_damage" "CHEK2"
"g1s_dna_damage" "PSMB11"
"g1s_dna_damage" "PSMA8"
"g1s_dna_damage" "PSME4"
"g1s_dna_damage" "MDM2"
"g1s_dna_damage" "ATM"
"g1s_dna_damage" "PSMA1"
"g1s_dna_damage" "PSMA2"
"g1s_dna_damage" "PSMA3"
"g1s_dna_damage" "PSMA4"
"g1s_dna_damage" "PSMA5"
"g1s_dna_damage" "PSMA6"
"g1s_dna_damage" "PSMA7"
"g1s_dna_damage" "PSMB1"
"g1s_dna_damage" "PSMB2"
"g1s_dna_damage" "PSMB3"
"g1s_dna_damage" "PSMB4"
"g1s_dna_damage" "PSMB5"
"g1s_dna_damage" "PSMB6"
"g1s_dna_damage" "PSMB7"
"g1s_dna_damage" "PSMB8"
"g1s_dna_damage" "PSMB9"
"g1s_dna_damage" "PSMB10"
"g1s_dna_damage" "PSMC1"
"g1s_dna_damage" "PSMC2"
"g1s_dna_damage" "PSMC3"
"g1s_dna_damage" "PSMC4"
"g1s_dna_damage" "PSMC5"
"g1s_dna_damage" "PSMC6"
"g1s_dna_damage" "PSMD1"
"g1s_dna_damage" "PSMD2"
"g1s_dna_damage" "PSMD3"
"g1s_dna_damage" "PSMD4"
"g1s_dna_damage" "PSMD5"
"g1s_dna_damage" "PSMD7"
"g1s_dna_damage" "PSMD8"
"g1s_dna_damage" "PSMD9"
"g1s_dna_damage" "PSMD10"
"g1s_dna_damage" "PSMD11"
"g1s_dna_damage" "PSMD12"
"g1s_dna_damage" "PSMD13"
"g1s_dna_damage" "PSME1"
"g1s_dna_damage" "PSME2"
"g1s_dna_damage" "RPS27A"
"g1s_dna_damage" "RFWD2"
"g1s_dna_damage" "TP53"
"g1s_dna_damage" "UBA52"
"g1s_dna_damage" "UBB"
"g1s_dna_damage" "UBC"
"g1s_dna_damage" "CCNE1"
"g1s_dna_damage" "CCNE2"
"g1s_dna_damage" "PSMF1"
"g1s_dna_damage" "PSMD6"
"g1s_dna_damage" "CDC25A"
"g2pathway" "CDK2"
"g2pathway" "PSME3"
"g2pathway" "PSMD14"
"g2pathway" "CDKN1A"
"g2pathway" "CDKN1B"
"g2pathway" "PSMB11"
"g2pathway" "PSMA8"
"g2pathway" "E2F1"
"g2pathway" "E2F2"
"g2pathway" "E2F3"
"g2pathway" "PSME4"
"g2pathway" "ORC6L"
"g2pathway" "ORC3L"
"g2pathway" "MCM2"
"g2pathway" "MCM3"
"g2pathway" "MCM4"
"g2pathway" "MCM5"
"g2pathway" "MCM6"
"g2pathway" "MCM7"
"g2pathway" "ORC1L"
"g2pathway" "ORC2L"
"g2pathway" "ORC4L"
"g2pathway" "ORC5L"
"g2pathway" "GMNN"
"g2pathway" "FZR1"
"g2pathway" "MCM10"
"g2pathway" "PSMA1"
"g2pathway" "PSMA2"
"g2pathway" "PSMA3"
"g2pathway" "PSMA4"
"g2pathway" "PSMA5"
"g2pathway" "PSMA6"
"g2pathway" "PSMA7"
"g2pathway" "PSMB1"
"g2pathway" "PSMB2"
"g2pathway" "PSMB3"
"g2pathway" "PSMB4"
"g2pathway" "PSMB5"
"g2pathway" "PSMB6"
"g2pathway" "PSMB7"
"g2pathway" "PSMB8"
"g2pathway" "PSMB9"
"g2pathway" "PSMB10"
"g2pathway" "PSMC1"
"g2pathway" "PSMC2"
"g2pathway" "PSMC3"
"g2pathway" "PSMC4"
"g2pathway" "PSMC5"
"g2pathway" "PSMC6"
"g2pathway" "PSMD1"
"g2pathway" "PSMD2"
"g2pathway" "PSMD3"
"g2pathway" "PSMD4"
"g2pathway" "PSMD5"
"g2pathway" "PSMD7"
"g2pathway" "PSMD8"
"g2pathway" "PSMD9"
"g2pathway" "PSMD10"
"g2pathway" "PSMD11"
"g2pathway" "PSMD12"
"g2pathway" "PSMD13"
"g2pathway" "PSME1"
"g2pathway" "PSME2"
"g2pathway" "RB1"
"g2pathway" "RPS27A"
"g2pathway" "UBA52"
"g2pathway" "UBB"
"g2pathway" "UBC"
"g2pathway" "CDT1"
"g2pathway" "MCM8"
"g2pathway" "CCNA2"
"g2pathway" "CCNA1"
"g2pathway" "PSMF1"
"g2pathway" "PSMD6"
"g2pathway" "CDC6"
"mitotic_mm_g1" "ACTR1A"
"mitotic_mm_g1" "AKAP9"
"mitotic_mm_g1" "CDK2"
"mitotic_mm_g1" "CDK7"
"mitotic_mm_g1" "TUBB4"
"mitotic_mm_g1" "TUBB2C"
"mitotic_mm_g1" "TUBGCP3"
"mitotic_mm_g1" "DCTN2"
"mitotic_mm_g1" "CETN2"
"mitotic_mm_g1" "PLK4"
"mitotic_mm_g1" "SDCCAG8"
"mitotic_mm_g1" "TUBGCP2"
"mitotic_mm_g1" "CEP110"
"mitotic_mm_g1" "FGFR1OP"
"mitotic_mm_g1" "CEP250"
"mitotic_mm_g1" "DCTN3"
"mitotic_mm_g1" "TUBGCP5"
"mitotic_mm_g1" "NEDD1"
"mitotic_mm_g1" "CSNK1D"
"mitotic_mm_g1" "CSNK1E"
"mitotic_mm_g1" "DCTN1"
"mitotic_mm_g1" "DYNC1H1"
"mitotic_mm_g1" "DYNC1I2"
"mitotic_mm_g1" "E2F1"
"mitotic_mm_g1" "E2F3"
"mitotic_mm_g1" "TUBB"
"mitotic_mm_g1" "CEP164"
"mitotic_mm_g1" "MAPRE1"
"mitotic_mm_g1" "NINL"
"mitotic_mm_g1" "AZI1"
"mitotic_mm_g1" "CEP152"
"mitotic_mm_g1" "CLASP1"
"mitotic_mm_g1" "TUBG2"
"mitotic_mm_g1" "TUBGCP4"
"mitotic_mm_g1" "HSP90AA1"
"mitotic_mm_g1" "MNAT1"
"mitotic_mm_g1" "NEK2"
"mitotic_mm_g1" "NUMA1"
"mitotic_mm_g1" "ODF2"
"mitotic_mm_g1" "PAFAH1B1"
"mitotic_mm_g1" "PCM1"
"mitotic_mm_g1" "PCNT"
"mitotic_mm_g1" "PLK1"
"mitotic_mm_g1" "NDE1"
"mitotic_mm_g1" "CEP192"
"mitotic_mm_g1" "HAUS2"
"mitotic_mm_g1" "PPP2R1A"
"mitotic_mm_g1" "PRKACA"
"mitotic_mm_g1" "CEP72"
"mitotic_mm_g1" "CDK5RAP2"
"mitotic_mm_g1" "PRKAR2B"
"mitotic_mm_g1" "CENPJ"
"mitotic_mm_g1" "TUBA4A"
"mitotic_mm_g1" "TUBG1"
"mitotic_mm_g1" "CDK11A"
"mitotic_mm_g1" "WEE1"
"mitotic_mm_g1" "XPO1"
"mitotic_mm_g1" "YWHAE"
"mitotic_mm_g1" "YWHAG"
"mitotic_mm_g1" "ALMS1"
"mitotic_mm_g1" "TUBA1A"
"mitotic_mm_g1" "CEP76"
"mitotic_mm_g1" "CEP290"
"mitotic_mm_g1" "CEP63"
"mitotic_mm_g1" "CEP70"
"mitotic_mm_g1" "CEP78"
"mitotic_mm_g1" "OFD1"
"mitotic_mm_g1" "TUBGCP6"
"mitotic_mm_g1" "SSNA1"
"mitotic_mm_g1" "DYNLL1"
"mitotic_mm_g1" "CCNA2"
"mitotic_mm_g1" "CCNA1"
"mitotic_mm_g1" "CCNB1"
"mitotic_mm_g1" "CCNH"
"mitotic_mm_g1" "PKMYT1"
"mitotic_mm_g1" "CCNB2"
"mitotic_mm_g1" "TSGA14"
"mitotic_mm_g1" "CEP135"
"mitotic_mm_g1" "CEP57"
"mitotic_mm_g1" "CKAP5"
"mitotic_mm_g1" "SFI1"
"mitotic_mm_g1" "CDC2"
"mitotic_mm_g1" "CDK11B"
"mitotic_mm_g1" "CDC25A"
"mitotic_mm_g1" "CDC25B"
"mitotic_mm_g1" "CDC25C"
"mitotic_spindle" "KIF20A"
"mitotic_spindle" "CDK2"
"mitotic_spindle" "PSME3"
"mitotic_spindle" "PSMD14"
"mitotic_spindle" "STAG1"
"mitotic_spindle" "NDC80"
"mitotic_spindle" "CENPA"
"mitotic_spindle" "CENPC1"
"mitotic_spindle" "CENPE"
"mitotic_spindle" "CENPF"
"mitotic_spindle" "NUDC"
"mitotic_spindle" "STAG2"
"mitotic_spindle" "DBF4"
"mitotic_spindle" "KIF2C"
"mitotic_spindle" "ZWINT"
"mitotic_spindle" "PMF1"
"mitotic_spindle" "PSMB11"
"mitotic_spindle" "PSMA8"
"mitotic_spindle" "SPC24"
"mitotic_spindle" "SGOL2"
"mitotic_spindle" "SGOL1"
"mitotic_spindle" "E2F1"
"mitotic_spindle" "E2F2"
"mitotic_spindle" "E2F3"
"mitotic_spindle" "SKA1"
"mitotic_spindle" "MAPRE1"
"mitotic_spindle" "CLASP2"
"mitotic_spindle" "PSME4"
"mitotic_spindle" "NUP160"
"mitotic_spindle" "CLASP1"
"mitotic_spindle" "ITGB3BP"
"mitotic_spindle" "ORC6L"
"mitotic_spindle" "ORC3L"
"mitotic_spindle" "POLA2"
"mitotic_spindle" "CENPI"
"mitotic_spindle" "AHCTF1"
"mitotic_spindle" "NSL1"
"mitotic_spindle" "FBXO5"
"mitotic_spindle" "RPA4"
"mitotic_spindle" "BIRC5"
"mitotic_spindle" "SKA2"
"mitotic_spindle" "NUP43"
"mitotic_spindle" "INCENP"
"mitotic_spindle" "APITD1"
"mitotic_spindle" "KIF2A"
"mitotic_spindle" "CENPP"
"mitotic_spindle" "MAD2L1"
"mitotic_spindle" "MCM2"
"mitotic_spindle" "MCM3"
"mitotic_spindle" "MCM4"
"mitotic_spindle" "MCM5"
"mitotic_spindle" "MCM6"
"mitotic_spindle" "MCM7"
"mitotic_spindle" "NUP98"
"mitotic_spindle" "ORC1L"
"mitotic_spindle" "ORC2L"
"mitotic_spindle" "ORC4L"
"mitotic_spindle" "ORC5L"
"mitotic_spindle" "PAFAH1B1"
"mitotic_spindle" "GMNN"
"mitotic_spindle" "PLK1"
"mitotic_spindle" "POLA1"
"mitotic_spindle" "POLE"
"mitotic_spindle" "POLE2"
"mitotic_spindle" "NDE1"
"mitotic_spindle" "ERCC6L"
"mitotic_spindle" "CCDC99"
"mitotic_spindle" "PPP1CC"
"mitotic_spindle" "ZWILCH"
"mitotic_spindle" "CDCA8"
"mitotic_spindle" "PPP2CA"
"mitotic_spindle" "PPP2CB"
"mitotic_spindle" "CENPQ"
"mitotic_spindle" "PPP2R1A"
"mitotic_spindle" "PPP2R1B"
"mitotic_spindle" "PPP2R5A"
"mitotic_spindle" "PPP2R5B"
"mitotic_spindle" "PPP2R5C"
"mitotic_spindle" "PPP2R5D"
"mitotic_spindle" "MCM10"
"mitotic_spindle" "PRIM1"
"mitotic_spindle" "PRIM2"
"mitotic_spindle" "NUP133"
"mitotic_spindle" "CENPN"
"mitotic_spindle" "RCC2"
"mitotic_spindle" "PSMA1"
"mitotic_spindle" "PSMA2"
"mitotic_spindle" "PSMA3"
"mitotic_spindle" "PSMA4"
"mitotic_spindle" "PSMA5"
"mitotic_spindle" "PSMA6"
"mitotic_spindle" "PSMA7"
"mitotic_spindle" "PSMB1"
"mitotic_spindle" "PSMB2"
"mitotic_spindle" "PSMB3"
"mitotic_spindle" "PSMB4"
"mitotic_spindle" "PSMB5"
"mitotic_spindle" "PSMB6"
"mitotic_spindle" "PSMB7"
"mitotic_spindle" "PSMB8"
"mitotic_spindle" "PSMB9"
"mitotic_spindle" "PSMB10"
"mitotic_spindle" "PSMC1"
"mitotic_spindle" "PSMC2"
"mitotic_spindle" "PSMC3"
"mitotic_spindle" "PSMC4"
"mitotic_spindle" "PSMC5"
"mitotic_spindle" "PSMC6"
"mitotic_spindle" "PSMD1"
"mitotic_spindle" "PSMD2"
"mitotic_spindle" "CASC5"
"mitotic_spindle" "PSMD3"
"mitotic_spindle" "PSMD4"
"mitotic_spindle" "PSMD5"
"mitotic_spindle" "NUP107"
"mitotic_spindle" "PSMD7"
"mitotic_spindle" "PSMD8"
"mitotic_spindle" "PSMD9"
"mitotic_spindle" "PSMD10"
"mitotic_spindle" "PSMD11"
"mitotic_spindle" "PSMD12"
"mitotic_spindle" "PSMD13"
"mitotic_spindle" "PSME1"
"mitotic_spindle" "PSME2"
"mitotic_spindle" "SPC25"
"mitotic_spindle" "TAOK1"
"mitotic_spindle" "RAD21"
"mitotic_spindle" "RANBP2"
"mitotic_spindle" "RANGAP1"
"mitotic_spindle" "RPA1"
"mitotic_spindle" "RPA2"
"mitotic_spindle" "RPA3"
"mitotic_spindle" "RPS27"
"mitotic_spindle" "RPS27A"
"mitotic_spindle" "CLIP1"
"mitotic_spindle" "SEC13"
"mitotic_spindle" "CENPK"
"mitotic_spindle" "GORASP1"
"mitotic_spindle" "CENPH"
"mitotic_spindle" "BUB1"
"mitotic_spindle" "BUB1B"
"mitotic_spindle" "UBA52"
"mitotic_spindle" "UBB"
"mitotic_spindle" "UBC"
"mitotic_spindle" "XPO1"
"mitotic_spindle" "MIS12"
"mitotic_spindle" "CENPM"
"mitotic_spindle" "NUP37"
"mitotic_spindle" "CENPO"
"mitotic_spindle" "MLF1IP"
"mitotic_spindle" "NUP85"
"mitotic_spindle" "DSN1"
"mitotic_spindle" "CENPT"
"mitotic_spindle" "B9D2"
"mitotic_spindle" "NDEL1"
"mitotic_spindle" "CDT1"
"mitotic_spindle" "SEH1L"
"mitotic_spindle" "KIF18A"
"mitotic_spindle" "SMC1A"
"mitotic_spindle" "CDC7"
"mitotic_spindle" "CDC45L"
"mitotic_spindle" "NUF2"
"mitotic_spindle" "MAD1L1"
"mitotic_spindle" "MCM8"
"mitotic_spindle" "KIF2B"
"mitotic_spindle" "SMC3"
"mitotic_spindle" "CENPL"
"mitotic_spindle" "ZW10"
"mitotic_spindle" "BUB3"
"mitotic_spindle" "AURKB"
"mitotic_spindle" "PSMF1"
"mitotic_spindle" "KIF23"
"mitotic_spindle" "KNTC1"
"mitotic_spindle" "CKAP5"
"mitotic_spindle" "PSMD6"
"mitotic_spindle" "CDC6"
"mitotic_spindle" "CDC20"
"mitotic_spindle" "REC8"
"rb_humor_suppressor" "ANAPC10"
"rb_humor_suppressor" "UBE2C"
"rb_humor_suppressor" "CDC26"
"rb_humor_suppressor" "ANAPC2"
"rb_humor_suppressor" "ANAPC4"
"rb_humor_suppressor" "MAD2L1"
"rb_humor_suppressor" "ANAPC5"
"rb_humor_suppressor" "ANAPC7"
"rb_humor_suppressor" "ANAPC11"
"rb_humor_suppressor" "ANAPC1"
"rb_humor_suppressor" "BUB1B"
"rb_humor_suppressor" "UBE2D1"
"rb_humor_suppressor" "UBE2E1"
"rb_humor_suppressor" "MAD1L1"
"rb_humor_suppressor" "CDC23"
"rb_humor_suppressor" "CDC16"
"rb_humor_suppressor" "BUB3"
"rb_humor_suppressor" "CDC20"
"rb_humor_suppressor" "CDC27"
"regulation_mitotic" "CDK2"
"regulation_mitotic" "PSME3"
"regulation_mitotic" "PSMD14"
"regulation_mitotic" "ANAPC10"
"regulation_mitotic" "UBE2C"
"regulation_mitotic" "PSMB11"
"regulation_mitotic" "PSMA8"
"regulation_mitotic" "PSME4"
"regulation_mitotic" "CDC26"
"regulation_mitotic" "FBXO5"
"regulation_mitotic" "ANAPC2"
"regulation_mitotic" "ANAPC4"
"regulation_mitotic" "MAD2L1"
"regulation_mitotic" "FZR1"
"regulation_mitotic" "ANAPC5"
"regulation_mitotic" "ANAPC7"
"regulation_mitotic" "ANAPC11"
"regulation_mitotic" "PLK1"
"regulation_mitotic" "PSMA1"
"regulation_mitotic" "PSMA2"
"regulation_mitotic" "PSMA3"
"regulation_mitotic" "PSMA4"
"regulation_mitotic" "PSMA5"
"regulation_mitotic" "PSMA6"
"regulation_mitotic" "PSMA7"
"regulation_mitotic" "PSMB1"
"regulation_mitotic" "PSMB2"
"regulation_mitotic" "PSMB3"
"regulation_mitotic" "PSMB4"
"regulation_mitotic" "PSMB5"
"regulation_mitotic" "PSMB6"
"regulation_mitotic" "PSMB7"
"regulation_mitotic" "PSMB8"
"regulation_mitotic" "PSMB9"
"regulation_mitotic" "PSMB10"
"regulation_mitotic" "PSMC1"
"regulation_mitotic" "PSMC2"
"regulation_mitotic" "PSMC3"
"regulation_mitotic" "PSMC4"
"regulation_mitotic" "PSMC5"
"regulation_mitotic" "PSMC6"
"regulation_mitotic" "PSMD1"
"regulation_mitotic" "PSMD2"
"regulation_mitotic" "PSMD3"
"regulation_mitotic" "PSMD4"
"regulation_mitotic" "PSMD5"
"regulation_mitotic" "PSMD7"
"regulation_mitotic" "PSMD8"
"regulation_mitotic" "PSMD9"
"regulation_mitotic" "PSMD10"
"regulation_mitotic" "PSMD11"
"regulation_mitotic" "PSMD12"
"regulation_mitotic" "PSMD13"
"regulation_mitotic" "PSME1"
"regulation_mitotic" "PSME2"
